exporter	eci_rca	eci_rpop	fitness12_rca	fitness12_rpop
PRY	-0.33309901441742207	-0.15835117887414343	0.19315716083404955	0.14698046702697753
PSE	0.3175600673182514	0.12772835949970945	1.0560573576228194	0.17330877483944765
QAT	-0.41113767472812307	0.5500606496353796	0.0033127538109140554	0.34964801579179716
ROU	0.9293812543896304	0.8396645263157936	1.972879126616829	1.9845402917141786
RUS	0.4055134276626171	0.6340576194025579	0.6231625910428792	1.0360415648506303
SAU	0.30312239325319057	0.5882672250288834	0.09063004310892744	0.7927401164770782
SDN	-1.687173997302361	-2.5201117783546176	0.050445389555004445	0.003593725233820814
SEN	-0.5647204893305168	-1.1550596202422934	0.34159117511070186	0.037753837716392874
SGP	1.913361139299518	0.8175551586358283	1.8392130322172482	3.4079121059662847
SLV	0.13706802032235424	0.35903530787077237	0.8462099951613253	0.3999887110192277
SRB	0.6608563951663322	0.6709853617753726	1.6175460503758738	1.363063471991491
SUR	-0.5658029629822138	0.02960705834211156	0.07072626743205021	0.13063325697250133
SVK	1.374381580742961	0.8658314638515251	1.7761201731790042	3.057270476371986
SVN	1.7352810937418521	0.9016397429823515	2.9518297215583247	3.0888366768707973
SWE	1.835525947372889	0.8830637443624477	3.5353806609279097	3.2631324833993967
SWZ	0.17286604053342067	0.4307973492993444	0.6878264210815763	0.5898456802989978
SYR	-0.32320769016942485	-0.500412858222807	0.7525613919216096	0.101797247088524
TCD	-3.0451933641207267	-4.8730048921332285	0.0016851606611074932	4.1885005980101547e-07
TGO	-0.634901196711756	-0.944963001615332	0.20743898298626143	0.0333000682235534
THA	1.0934628312082764	0.8274820892965309	2.7342621784609307	2.3527659933935814
TJK	-0.9340166110127934	-1.5065982725603448	0.15575109970336934	0.0057335872805794955
TKM	-1.197572367076854	-0.6467486910636168	0.023075501582411354	0.01666347401875789
TTO	-0.5455124644697712	0.4536107968724097	0.01833379642505602	0.3891558373572248
TUN	0.32182169257474247	0.6092130151054755	1.3421669723788225	0.8870325036330073
TUR	0.6118666782807244	0.7128627106976402	2.2279104280695488	1.7264837123687269
TZA	-0.7575858718096231	-1.459885709449925	0.38312490216180234	0.02611642253043887
UGA	-0.418802538508146	-2.1167292186329125	0.3587701663908553	0.004330149319645645
UKR	0.5647567494535168	0.6409457666620354	1.1962186776631898	1.0032692427405114
URY	0.287957918255431	0.485906141075801	0.637775465715646	0.6558583200364024
USA	1.6216711575808949	0.8961500642186218	4.559951726695261	3.3687045845182984
UZB	-0.4902234432828382	-0.6548789644529548	0.3541652831427143	0.057245263785539006
VEN	-0.7833243581242734	-0.19292592663246536	0.010247157115662948	0.047811625490839074
VGB	0.7319312245532531	0.8871715201789662	0.4671285284255895	1.59029831133544
VNM	0.13137118466755154	0.6008812209051086	1.6190426570525738	1.0230543767321112
YEM	-1.3987302209449586	-1.4611184539390185	0.03318396424211749	0.004185333000489049
ZAF	0.2274893982690616	0.6037443872332513	1.0526378319828424	1.4220323248420088
ZMB	-0.3757195399663936	-0.359686133700227	0.20965680906854736	0.08656709045841812
ZWE	-0.7895903045760728	-1.1505758754971647	0.1730813452085737	0.027021864569351395
